Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
Naughty Dog,2023-09-22,,Sony Entertainment,,California,Japan
Crystal Dynamics,2023-09-20,10,Embracer Group,Console,California,Sweden
Probably Monsters,2023-09-15,55,,Indie,Washington State,United States
BeamDog,2023-09-15,23,Embracer Group,Console,Washington State,Sweden
DoubleDown Interactive,2023-09-15,25,DoubleU Games Co Ltd.,Mobile,Washington State,United States
Ascendant Studios,2023-09-14,50,,Console,California,United States
Ubisoft London,2023-09-14,54,Ubisoft,Mobile,England,France
Visual Concepts,2023-09-12,,TakeTwo Interactive,Console,Texas,United States
Telltale Games,2023-09-08,,,Indie,California,United States
Demiurge Studios,2023-09-08,5,,Indie,Massachusetts,United States
Volition,2023-08-31,240,Embracer Group,Console,Illinois,Sweden
Rainbow Studios,2023-08-31,15,Embracer Group,Console,Arizona,Sweden
Keywords Edmonton,2023-08-31,13,Keywords Studios,Publisher,Alberta,United Kingdom
Romino Games,2023-08-30,25,,Indie,Netherlands,Netherlands
Gearbox Publishing,2023-08-30,,Embracer Group,Publisher,Texas,Sweden
Mimimi,2023-08-29,30,,Indie,Germany,Germany
Blackbird Interactive,2023-08-29,90,,Indie,British Columbia,Canada
EastSide Games,2023-08-29,28,,Mobile,British Columbia,Canada
Bioware Games,2023-08-23,50,Electronic Arts,Console,Alberta,United States
Vela Games,2023-08-21,45,,Online,Ireland,United Kingdom
Imagendary Studios,2023-08-11,55,FunPlus,Console,California,China
Campfire Cabal,2023-08-08,18,Embracer Group,Console,Sweden,Sweden
Action Squad Studios,2023-08-05,14,,Indie,Finland,Finland
Popcore,2023-07-31,,TakeTwo Interactive,Mobile,Germany,United States
Striking Distance Studios,2023-07-31,32,Krafton,Console,California,South Korea
CD Projekt Red,2023-07-26,100,CD Projekt,Console,Poland,Poland
Double Stallion Games,2023-07-20,10,,Indie,Quebec,Canada
Activision Blizzard,2023-07-19,50,Activision Blizzard King,Publisher,California,United States
Product Madness,2023-07-11,25,Aristocrat Games,Online,Nevada,United States
Adglobe Montreal,2023-07-06,29,Skeleton Crew,AR/VR,Quebec,Japan
TavroxGames,2023-07-01,4,,Indie,France,France
A Thinking Ape,2023-07-01,5,Embracer Group,Mobile,British Columbia,Sweden
Harebrained Schemes,2023-07-01,40,Paradox Interactive,Indie,Washington State,Sweden
Puny Human,2023-06-30,14,,Indie,North Carolina,United States
LifeForce Games,2023-06-30,13,,Indie,,
Daedalic Entertainment,2023-06-30,25,Nacon,Console,Germany,France
JumpStart Games,2023-06-30,60,NetDragon Websoft,Online,California,China
Ludia,2023-06-29,45,Jam City,Mobile,Quebec,United States
Niantic,2023-06-29,230,Niantic,AR/VR,California,United States
Elodie Games,2023-06-28,,,Online,California,United States
HiRez Ventures,2023-06-27,50,,Online,Georgia,United States
Wildseed Games,2023-06-23,15,,Online,California,United States
Scavenger Studios,2023-06-21,20,,Indie,Quebec,Canada
Bilibili Guangzhou Xinyuan,2023-06-16,220,Bilibili,Online,China,China
Probably Monsters,2023-06-15,35,,Online,Washington State,United States
Wildlife Studios,2023-06-15,143,Wildlife Studios,Mobile,Brazil,Brazil
Kiloo Games,2023-06-14,55,,Mobile,Denmark,Denmark
Hellbent Games,2023-06-12,40,,Indie,British Columbia,Canada
The Game Band,2023-06-03,,,Console,California,United States
Firemonkeys,2023-06-01,45,Electronic Arts,Mobile,Australia,United States
BonusXP,2023-06-01,48,Netflix,Console,Texas,United States
Vanpool,2023-05-31,,,Console,Japan,Japan
Firaxis Games,2023-05-30,30,TakeTwo Interactive,Console,Massachusetts,United States
PlayStation San Diego,2023-05-26,,Sony Entertainment,Console,California,Japan
Antimatter Games,2023-05-25,53,Enad Global 7,Console,England,Sweden
Kabam,2023-05-24,,Netmarble,Mobile,British Columbia,South Korea
Plucky Bytes,2023-05-23,,Embracer Group,Console,Sweden,Sweden
Relic Games,2023-05-23,121,SEGA,Console,British Columbia,Japan
Resolution Games,2023-05-22,70,,AR/VR,Sweden,Sweden
Deck Nine Games,2023-05-19,30,,Console,Colorado,United States
Brace Yourself Games,2023-05-18,21,,Console,British Columbia,Canada
Deviation Games,2023-05-12,90,,Console,Los Angeles,United States
The Molasses Flood,2023-05-11,29,CD Projekt,Console,Massachusetts,Poland
Ubisoft,2023-05-10,60,Ubisoft,Publisher,,France
Final Strike Games,2023-05-09,30,,Console,California,United States
Unity Technologies,2023-05-02,600,Unity,Online,California,United States
PixelOpus,2023-05-01,20,Sony Entertainment,Console,California,Japan
We're Five Games,2023-05-01,14,TinyBuild,Console,Minneapolis,United States
PlayStudios,2023-05-01,100,PlayStudios,Mobile,Nevada,United States
Phoenix Labs,2023-04-25,30,Garena,Online,British Columbia,Singapore
Ten Square Games,2023-04-21,105,,Mobile,Wroclaw,Poland
Downpour Interactive,2023-04-20,,Meta,AR/VR,Washington State,United States
Ready at Dawn,2023-04-20,30,Meta,AR/VR,California,United States
CyberConnect2 Montreal,2023-04-17,55,CyberConnect2,Console,Quebec,Japan
Innogames,2023-04-14,75,,Mobile,Germany,Germany
Bungie,2023-04-14,,Sony Entertainment,Console,Washington State,Japan
Counterplay Games,2023-04-04,,,Indie,California,United States
Paradox Games,2023-04-04,36,Paradox Interactive,Indie,Sweden,Sweden
Amazon Game Studios,2023-04-04,100,Amazon,Publisher,California,United States
Electronic Arts,2023-03-30,775,,Publisher,,United States
LINE games,2023-03-30,30,Naver,Online,South Korea,South Korea
Twitch,2023-03-20,400,Amazon,Online,California,United States
Team17,2023-03-17,,Team17,Publisher,England,United Kingdom
Private Division,2023-03-07,,TakeTwo Interactive,Publisher,California,United States
GameLoft Budapest,2023-03-01,100,GameLoft,Mobile,Hungary,France
EA Baton Rouge,2023-02-28,200,Electronic Arts,Publisher,Lousiana,United States
PUBG Santa Monica,2023-02-24,5,Krafton,Online,California,South Korea
Survios,2023-02-13,35,,AR/VR,California,United States
Big Run Studios,2023-02-02,25,,Mobile,California,United States
Nexon Games West,2023-02-02,80,Nexon,Online,California,South Korea
Hyper Hippos Entertainment,2023-02-01,10,,Mobile,British Columbia,Canada
Mutant Arm Studios,2023-02-01,31,,Indie,Oregon,United States
EA Industrial Toys,2023-01-31,150,Electronic Arts,Mobile,California,United States
Respawn Entertainment,2023-01-31,,Electronic Arts,Mobile,California,United States
Wicked Realm Games,2023-01-30,60,Tilting Point,Mobile,Massachusetts,United States
Hidden Leaf Games,2023-01-25,30,,Indie,California,United States
Roblox,2023-01-20,30,,Tech,California,United States
HiRez Games,2023-01-19,,,Online,Georgia,United States
343 Studios,2023-01-19,95,Microsoft,Console,Washington State,United States
The Coalition,2023-01-19,,Microsoft,Console,British Columbia,United States
Bethesda Games,2023-01-19,,Microsoft,Console,,United States
Riot Games,2023-01-19,46,Tencent,Online,California,China
Unity Technologies,2023-01-17,300,Unity,Tech,California,United States
Wizards of the Coast,2023-01-03,15,Hasbro,Console,,United States
Sumo Group,2024-06-11,150,Tencent,Console,,
Timbre Games,2024-06-11,100,Tencent,Console,,
GameLoft Kharkiv,2024-06-05,41,Vivendi,Mobile,,
Behaviour Interactive,2024-06-04,95,,Console,,
Avalanche Studios,2024-06-03,50,Avalanche Studios Group,Console,,
Fall Damage,2024-05-23,50,Fragbite,Online,,
Hatchery Games,2024-05-23,13,,Indie,,
Singularity 6,2024-05-16,36,,Online,,
Phoenix Labs,2024-01-16,162,,Console,,
GameLoft Cluj,2024-05-16,136,Vivendi,Mobile,,
Studio Wildcard,2024-05-15,6,SDE Inc.,Console,,
Mighty Kingdom,2024-05-13,25,,Mobile,,
CI Games,2024-05-10,30,,Indie,,
Dawon Interactive,2024-05-08,,Prytania Media,Indie,,
Lightforge Games,2024-05-08,35,,Online,,
Bethesda Softworks,2024-05-07,,Microsoft,Publisher,,
Tango GameWorks,2024-05-07,150,Microsoft,Console,,
Alpha Dog Games,2024-05-07,25,Microsoft,Mobile,,
Arkane Austin,2024-05-07,60,Microsoft,Console,,
Paladin Studios,2024-05-02,45,,Indie,,
Playtika Belarus,2024-04-30,150,PlayTika,,,
Keoken Interactive,2024-04-30,13,,Indie,,
NCSoft,2024-04-26,,NCSoft,Publisher,,
Bethesda France,2024-04-23,15,Microsoft,Publisher,,
Flaming Fowl Studios,2024-04-23,20,,Indie,,
ModernWolf,2024-04-18,6,,Publisher,,
TakeTwo Interactive,2024-04-17,600,TakeTwo Interactive,Publisher,,
Kwalee,2024-04-16,40,,Mobile,,
Possibility Space,2024-04-12,50,Prytania Media,Indie,,
Ubisoft Korea,2024-04-09,,Ubisoft,Publisher,,
Singularity 6,2024-04-04,49,,Online,,
Relic Entertainment,2024-04-04,40,,Indie,,
MI-CLOS Studio,2024-04-03,20,,Indie,,
Whitethorn Games,2024-04-03,5,,Publisher,,
Spearhead Games,2024-04-03,31,,Indie,,
Ubisoft,2024-04-02,45,Ubisoft,Publisher,,
Bold Spirit Game Studio,2024-04-01,30,,Indie,,
Sega HARDLight,2024-03-28,,SEGA,Mobile,,
Creative Assembly,2024-03-28,240,SEGA,Console,,
Certain Affinity,2024-03-28,25,,Indie,,
Gearbox Publishing,2024-03-28,,TakeTwo Interactive,Publisher,,
Smilegate Barcelona,2024-03-27,45,Smilegate,Console,,
Tarsier Studios,2024-03-22,,Embracer Group,Console,,
Velan Studios,2024-03-17,46,,Indie,,
Happy Volcano,2024-03-17,8,,Indie,,
Something Wicked Games,2024-03-15,40,,Indie,,
Sega of America,2024-03-08,61,SEGA,Publisher,,
Deviation Games,2024-03-08,50,,Console,,
ZA/UM,2024-03-06,24,,Indie,,
Babaroga Games,2024-03-01,4,,Indie,Illinois,United States
Radical Forge,2024-03-01,6,,Indie,,
FrogSong Studios,2024-03-01,25,,Indie,,
505 Games,2024-02-29,,Digital Bros,Publisher,,
Keoken Interactive,2024-02-29,4,,Indie,,Netherlands
Wildlife Studios,2024-02-28,130,,Mobile,,Brazil
Electronic Arts,2024-02-28,670,Electronic Arts,Publisher,,
Deck Nine Games,2024-02-27,25,,Console,,
PlayStation Studios,2024-02-27,900,Sony,Console,,
Die Gut Fabrik,2024-02-26,10,,Indie,,
SuperMassive Games,2024-02-26,90,,Console,,
CodeMasters,2024-02-23,,Electronic Arts,Mobile,England,United States
GameLoft Lviv,2024-02-21,38,Viacom,Mobile,Ukraine,France
Disruptive Games,2024-02-21,,,Console,California,United States
Noggin,2024-02-16,,Paramount Global,Online,,United States
Build a Rocket Boy,2024-02-19,,,Console,,United Kingdom
Scopely,2024-02-14,15,Savvy Games Group,Mobile,California,Saudi Arabia
Daybreak Games,2024-02-12,15,Enad Global 7,Online,California,Sweden
Genvid Technologies,2024-02-12,,,Online,,United States
Threshold Games,2024-02-09,11,,Indie,,United States
GameScience,2024-02-07,10,Prytania Media,Indie,,United States
Hidden Path Entertainment,2024-02-07,44,,Indie,Washington,United States
91Act,2024-02-07,15,,Indie,,China
Cloud Imperium Games,2024-02-06,,,Indie,,United States
Visual Concepts,2024-02-06,,TakeTwo Interactive,Console,Texas,United States
Crop Circle Games,2024-02-05,,Prytania Media,Indie,,United States
Chimera Entertainment,2024-02-01,20,Remote Control Productions,Mobile,,
Threaks,2024-02-01,25,,Indie,Germany,Germany
Artificer,2024-01-31,,Devolver Digital,Console,,
Airship Syndicate,2024-01-31,12,,Indie,Texas,United States
Rovio Montreal,2024-01-31,12,SEGA,Mobile,,Japan
Starword Industries,2024-01-30,15,,Console,Poland,Poland
Nimble Giant,2024-01-30,,Embracer Group,Console,,Sweden
Black Forest Games,2024-01-25,40,Embracer Group,Console,,Sweden
Plarium,2024-01-24,45,Aristocrat Games,Mobile,,
Little Red Dog Games,2024-01-22,30,,Console,,
Chief Rebel,2024-01-19,,,Indie,,
Warducks,2024-01-23,10,,Mobile,Ireland,Ireland
People Can Fly Studios,2024-01-24,30,,Console,,
Eidos Montreal,2024-01-29,97,Embracer Group,Console,Quebec,Sweden
Activision Blizzard,2024-01-25,1900,Microsoft,Console,,United States
Riot Games,2024-01-22,530,Tencent,Online,California,China
Metaverse World,2024-01-19,70,Netmarble,Online,South Korea,South Korea
Ntreev Soft,2024-01-18,70,NCSoft,Online,South Korea,South Korea
31st Union,2024-01-18,,TakeTwo Interactive,Console,,United States
CI Games,2024-01-18,30,,Console,,
Behaviour Interactive,2024-01-18,45,,Console,Quebec,Canada
Wimo Games,2024-01-17,20,,Online,Texas,United States
Netspeak Games,2024-01-17,25,,Indie,,
Thunderful Group,2024-01-17,75,Thunderful Group,Publisher,,Sweden
Pixelberry,2024-01-17,,Nexon,Mobile,,
Prahna Bytes,2024-01-16,,Embracer Group,Console,,Sweden
PTW,2024-01-16,45,,Publisher,,
Nesting Games,2024-01-12,68,Digital Bros,Console,Quebec,Italy
Lost Boys Interactive,2024-01-12,125,Embracer Group,Console,,Sweden
Playtika,2024-01-11,350,PlayTika,Mobile,,Israel
Twitch,2024-01-10,500,Amazon,Online,California,United States
Unity Technologies,2024-01-08,1800,Unity,Tech,California,United States
Sliptegate Iron Works,2024-01-03,,Embracer Group,Console,,Sweden
Archiact,2024-01-02,20,,AR/VR,British Columbia,Canada
